Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
39,Female,69.1,1.52,176,140,70,1.24,452.4,Strength,17.6,2.38,5,2,29.91
43,Male,74.0,1.82,197,128,60,0.72,364.1,Cardio,16.7,2.03,2,1,22.34
35,Male,78.4,1.7,191,139,74,0.69,179.0,Yoga,20.9,1.7,1,1,27.13
31,Female,63.7,1.79,176,141,55,1.1,243.9,Yoga,28.8,1.91,5,2,19.88
46,Male,58.2,1.69,186,155,66,0.89,287.9,Cardio,26.1,1.9,4,2,20.38
29,Male,68.2,1.6,188,131,61,0.81,444.1,Cardio,18.4,2.13,1,1,26.64
53,Male,49.9,1.75,191,151,62,1.26,539.7,HIIT,20.7,2.23,6,3,16.29
52,Female,68.0,1.56,185,114,63,0.65,317.9,Cardio,31.3,1.36,2,1,27.94
29,Male,96.2,1.82,172,137,56,1.2,403.1,Yoga,21.9,1.91,3,2,29.04
24,Female,59.4,1.55,184,141,71,0.88,282.6,Strength,32.7,1.95,4,1,24.72
46,Male,80.5,1.81,183,136,74,0.68,243.7,Strength,10.9,1.9,4,1,24.57
28,Male,58.3,1.68,184,150,67,1.25,596.9,HIIT,26.8,2.4,3,3,20.66
50,Male,84.6,1.78,183,145,59,0.7,328.8,Strength,19.7,1.93,4,1,26.7
23,Male,87.8,1.86,176,120,64,0.87,215.8,Yoga,8.0,1.91,4,2,25.38
32,Female,48.2,1.54,194,153,66,0.41,80.0,Yoga,37.4,1.63,2,1,20.32
49,Female,67.9,1.74,172,115,71,0.9,429.2,Cardio,39.0,2.1,3,2,22.43
28,Female,63.6,1.65,199,156,60,1.13,573.3,Cardio,26.1,2.3,6,3,23.36
40,Male,67.1,1.73,186,139,57,0.77,156.0,Yoga,17.0,1.86,1,1,22.42
43,Male,53.6,1.7,179,116,69,1.34,145.0,Yoga,8.0,1.98,6,3,18.55
51,Female,72.1,1.64,184,140,61,0.84,473.9,Cardio,23.5,1.97,4,2,26.81
51,Male,61.9,1.64,198,143,60,1.07,672.3,HIIT,26.4,1.95,4,2,23.01
46,Male,70.4,1.71,175,129,58,0.81,323.9,Strength,28.4,2.07,4,2,24.08
21,Male,72.6,1.83,197,135,73,1.22,654.6,Cardio,16.4,2.68,6,3,21.68
34,Male,66.3,1.6,186,122,59,0.63,94.1,Yoga,31.3,1.47,5,1,25.9
52,Female,58.8,1.54,186,143,57,0.9,375.9,Cardio,32.1,2.39,2,1,24.79
30,Female,77.6,1.64,183,122,63,1.27,315.8,Yoga,26.9,2.4,5,3,28.85
58,Female,73.2,1.68,193,134,60,0.98,567.9,Cardio,32.0,2.42,5,2,25.94
56,Male,67.8,1.71,194,149,67,0.62,252.0,Strength,24.4,1.74,2,1,23.19
32,Male,61.5,1.71,187,122,74,0.93,489.4,Cardio,19.9,1.62,4,2,21.03
46,Male,82.2,1.73,194,141,58,1.37,631.4,Strength,13.3,2.38,5,2,27.47
46,Male,66.1,1.7,174,128,56,0.65,341.8,HIIT,13.3,2.31,1,1,22.87
28,Male,66.6,1.69,198,148,58,0.85,368.7,Cardio,15.6,1.69,3,1,23.32
49,Female,56.7,1.56,177,123,62,0.98,359.0,Strength,41.9,1.81,2,2,23.3
19,Female,59.5,1.63,176,128,67,0.84,318.7,Strength,29.2,2.18,3,1,22.39
31,Male,63.7,1.65,192,130,64,1.17,477.2,Cardio,19.4,2.05,5,2,23.4
37,Female,71.3,1.5,173,141,72,1.18,748.8,HIIT,17.7,2.71,2,3,31.69
39,Female,52.0,1.62,187,118,63,0.89,250.9,Strength,27.6,2.23,3,1,19.81
28,Female,56.5,1.65,174,143,55,1.3,379.2,Strength,24.9,2.06,5,1,20.75
44,Female,87.4,1.72,185,140,67,0.86,362.4,Strength,23.2,1.85,2,1,29.54
20,Male,60.5,1.64,183,151,72,1.32,414.0,Strength,24.3,2.13,4,2,22.49
34,Male,75.2,1.84,196,139,69,1.1,564.5,Cardio,14.5,2.15,5,2,22.21
45,Male,104.8,1.93,196,128,56,0.56,271.5,Strength,15.3,1.93,1,1,28.13
46,Female,48.7,1.63,188,153,65,1.06,320.8,Strength,29.5,2.21,4,2,18.33
38,Male,82.6,1.74,183,118,68,0.68,516.8,HIIT,20.6,1.57,4,1,27.28
33,Male,72.4,1.73,178,117,69,0.63,391.9,HIIT,24.6,2.15,3,1,24.19
54,Male,83.8,1.8,175,122,68,0.74,262.7,Strength,15.3,1.86,3,1,25.86
37,Male,82.6,1.79,186,155,70,0.72,421.3,Cardio,16.0,1.65,1,1,25.78
23,Female,51.0,1.54,188,143,69,0.54,221.5,Cardio,33.2,1.69,4,1,21.5
36,Female,77.7,1.66,181,137,73,1.29,700.8,Cardio,28.9,2.58,3,1,28.2
22,Male,68.3,1.77,173,134,63,1.41,655.6,Cardio,18.5,2.4,4,3,21.8
20,Male,75.0,1.71,185,128,59,1.05,433.8,Strength,13.7,2.21,3,2,25.65
18,Male,81.7,1.68,194,149,59,0.77,471.7,Cardio,22.5,1.61,3,1,28.95
55,Male,90.4,1.75,180,127,65,0.99,572.0,Cardio,14.4,2.13,1,1,29.52
32,Male,65.5,1.69,191,155,74,1.17,612.5,Cardio,21.5,2.5,3,1,22.93
51,Male,86.6,1.83,173,115,58,0.89,511.6,Cardio,28.7,1.49,2,1,25.86
52,Male,64.4,1.69,186,130,74,1.02,461.7,Cardio,22.6,2.0,5,2,22.55
42,Female,88.2,1.61,177,133,72,1.04,715.6,Cardio,29.8,2.31,1,1,34.03
41,Female,63.5,1.53,183,126,57,0.78,281.0,Strength,30.7,2.02,3,1,27.13
29,Male,76.2,1.77,196,145,58,0.84,400.5,Strength,28.3,1.7,4,1,24.32
35,Male,73.8,1.71,171,122,68,0.95,572.9,Cardio,26.7,2.19,1,1,25.24
32,Female,72.3,1.68,180,118,61,0.67,211.5,Strength,29.8,1.55,1,1,25.62
33,Male,81.6,1.78,180,129,62,0.58,299.8,Strength,17.7,1.59,5,2,25.75
44,Female,59.0,1.6,193,143,70,0.66,336.7,Cardio,25.7,1.67,2,1,23.05
25,Female,65.6,1.71,191,127,74,1.15,534.6,Cardio,33.9,2.65,7,2,22.43
42,Male,69.2,1.72,193,143,69,1.14,427.7,Strength,24.7,1.68,2,2,23.39
34,Male,53.6,1.66,175,119,61,1.52,656.7,HIIT,15.4,1.93,5,3,19.45
46,Female,67.9,1.59,190,135,71,1.17,610.0,Cardio,38.6,2.29,4,3,26.86
25,Male,67.4,1.8,190,128,66,1.32,546.8,Cardio,28.0,2.32,3,2,20.8
32,Female,49.3,1.58,183,153,72,0.79,155.6,Yoga,45.0,1.83,3,1,19.75
44,Female,64.4,1.64,199,152,68,1.12,468.8,Cardio,32.2,2.18,4,2,23.94
24,Female,64.7,1.66,179,123,69,1.18,611.9,Cardio,26.1,1.89,3,2,23.48
20,Male,74.0,1.72,195,148,69,0.47,120.2,Yoga,24.2,1.81,1,1,25.01
46,Female,68.1,1.77,196,154,59,0.8,530.7,HIIT,32.2,2.04,5,2,21.74
41,Male,70.3,1.77,177,128,70,1.04,374.8,Strength,17.2,2.49,5,3,22.44
20,Male,79.2,1.72,176,140,59,1.21,480.6,Strength,19.9,2.8,4,2,26.77
37,Female,63.7,1.55,177,111,56,0.69,249.7,Cardio,36.9,1.83,3,1,26.51
32,Male,79.8,1.74,197,159,74,1.16,718.1,Cardio,29.2,1.81,3,1,26.36
42,Female,68.9,1.69,177,130,63,0.75,314.4,Strength,20.7,2.07,2,1,24.12
47,Female,60.1,1.56,192,125,63,0.46,229.4,Cardio,29.3,1.74,3,1,24.7
31,Male,69.5,1.67,171,119,58,0.87,348.5,Strength,14.9,1.97,3,2,24.92
24,Male,76.4,1.89,196,164,69,1.02,255.5,Yoga,15.2,1.63,4,2,21.39
34,Male,103.4,1.86,185,146,65,0.85,252.0,Yoga,15.0,2.04,2,1,29.89
37,Male,94.0,1.79,178,129,55,1.05,733.9,Cardio,12.6,2.26,5,3,29.34
53,Male,86.1,1.78,182,120,72,0.86,378.3,Strength,21.9,2.31,2,1,27.17
26,Female,55.7,1.58,192,130,55,0.92,271.8,Strength,27.3,1.9,3,1,22.31
55,Male,77.4,1.72,181,121,62,0.87,323.7,Yoga,15.8,1.77,3,2,26.16
39,Male,87.5,1.77,196,124,70,1.39,887.7,Cardio,15.1,2.18,4,2,27.93
19,Female,53.3,1.67,191,142,72,0.89,266.7,Cardio,37.9,2.31,4,2,19.11
41,Male,98.6,1.79,194,156,63,1.05,737.9,Cardio,15.4,2.55,5,3,30.77
25,Female,45.8,1.64,198,150,66,0.69,133.8,Strength,20.9,2.25,4,2,17.03
28,Male,79.3,1.72,186,128,73,1.49,664.7,Strength,18.3,2.59,6,3,26.81
30,Male,87.2,1.71,196,146,72,0.75,553.0,HIIT,12.5,1.94,4,1,29.82
34,Female,60.3,1.6,171,141,59,0.9,480.0,HIIT,30.6,2.08,4,2,23.55
25,Female,66.0,1.68,182,138,56,0.96,432.0,Cardio,34.5,2.16,5,3,23.38
38,Female,77.1,1.7,170,131,61,0.92,403.1,Strength,29.7,1.98,4,2,26.68
35,Female,73.5,1.53,195,161,64,1.23,633.6,Cardio,31.5,2.5,4,1,31.4
47,Female,57.8,1.59,197,156,69,0.57,113.1,Yoga,21.2,1.35,3,2,22.86
35,Male,65.4,1.77,188,118,61,0.87,248.6,Yoga,20.6,1.58,5,2,20.88
48,Male,72.3,1.8,180,122,59,1.11,194.6,Yoga,17.3,1.67,3,1,22.31
55,Female,36.9,1.44,174,146,69,1.5,195.0,Yoga,30.7,2.16,4,3,17.8
49,Female,71.5,1.61,170,129,74,0.64,235.3,Cardio,33.0,2.29,2,1,27.58
28,Female,62.7,1.69,189,124,74,0.79,351.6,Cardio,20.1,1.62,3,1,21.95
42,Male,67.7,1.71,199,142,69,1.34,514.6,Strength,9.4,1.96,4,3,23.15
50,Male,78.0,1.68,182,140,64,1.03,211.1,Yoga,9.5,1.87,4,2,27.64
55,Female,63.5,1.68,177,150,68,1.11,442.0,Cardio,38.1,2.5,2,1,22.5
58,Male,91.5,1.84,175,121,64,1.07,711.8,Cardio,19.5,2.57,4,2,27.03
25,Female,50.2,1.59,198,145,71,1.23,617.0,HIIT,33.5,2.54,5,2,19.86
28,Female,74.0,1.63,186,152,68,0.79,420.1,Cardio,34.9,2.3,3,1,27.85
39,Male,77.7,1.75,181,122,56,0.84,386.0,Strength,18.5,2.5,6,3,25.37
41,Female,62.1,1.62,170,114,70,0.76,469.8,HIIT,29.8,1.42,3,2,23.66
58,Female,65.2,1.63,172,144,67,0.8,478.9,Cardio,34.5,1.61,2,2,24.54
34,Male,60.4,1.79,183,132,63,0.95,376.0,Cardio,19.1,1.86,3,2,18.85
29,Female,68.1,1.67,195,138,61,1.42,832.4,HIIT,25.4,2.38,1,2,24.42
49,Male,77.6,1.82,177,136,70,0.82,342.8,Strength,29.5,2.02,3,1,23.43
32,Female,45.0,1.54,180,111,64,0.73,123.2,Yoga,40.4,1.97,1,1,18.97
33,Male,68.3,1.79,196,160,63,1.25,382.8,Strength,20.4,2.5,3,2,21.32
39,Female,62.4,1.63,183,125,61,0.96,462.6,Cardio,26.4,1.5,5,3,23.49
45,Male,62.3,1.7,177,128,70,0.65,370.4,HIIT,18.2,1.85,3,1,21.56
37,Male,57.8,1.9,198,125,63,0.87,258.8,Strength,17.9,2.1,3,2,16.01
50,Female,74.3,1.62,172,125,71,1.33,737.0,Cardio,41.1,2.2,2,3,28.31
27,Male,70.1,1.73,176,144,74,0.93,622.3,HIIT,28.1,2.11,4,1,23.42
57,Male,48.4,1.74,197,153,61,0.84,337.3,Cardio,31.4,2.31,3,1,15.99
49,Female,73.2,1.5,188,154,65,0.85,453.9,Cardio,26.3,2.03,5,1,32.53
50,Female,65.2,1.5,173,122,62,0.93,454.8,Cardio,23.1,2.7,3,2,28.98
19,Female,62.3,1.66,194,147,61,0.81,292.7,Strength,20.2,2.27,1,1,22.61
50,Female,55.5,1.64,185,138,73,0.58,228.6,Strength,30.0,1.93,3,1,20.64
50,Male,74.9,1.71,182,148,74,1.13,486.8,Strength,17.6,2.33,3,2,25.61
58,Male,80.4,1.8,189,146,66,0.9,677.0,HIIT,18.3,2.26,4,2,24.81
30,Male,90.5,1.86,188,128,61,0.53,179.6,Yoga,19.6,2.32,4,1,26.16
47,Female,58.3,1.68,174,120,62,0.76,401.2,Cardio,39.6,2.31,3,1,20.66
50,Female,77.3,1.65,192,125,61,0.62,325.7,Cardio,19.8,2.03,4,2,28.39
30,Female,62.4,1.68,174,129,60,1.54,765.2,Cardio,19.2,2.21,5,3,22.11
43,Female,71.0,1.63,189,156,63,1.41,828.2,Cardio,23.1,2.47,3,3,26.72
39,Male,60.9,1.71,193,126,67,1.07,565.6,HIIT,30.3,2.32,5,2,20.83
56,Male,113.3,1.81,173,110,61,0.43,429.8,HIIT,10.9,1.99,4,1,34.58
19,Male,72.0,1.64,171,110,62,0.61,378.1,HIIT,17.4,1.65,3,1,26.77
55,Male,105.1,1.72,195,155,71,0.76,608.2,Cardio,16.9,2.18,1,1,35.53
56,Male,85.6,1.77,182,129,71,0.7,259.4,Strength,20.5,2.16,2,1,27.32
43,Female,57.8,1.63,199,132,70,0.66,192.6,Strength,34.3,1.53,5,2,21.75
32,Male,75.3,1.66,185,124,56,0.49,257.9,Cardio,28.2,1.43,2,1,27.33
51,Male,90.4,1.81,191,143,62,0.69,333.1,Strength,20.3,2.25,4,1,27.59
59,Male,78.1,1.75,171,130,71,0.99,217.1,Yoga,21.8,1.84,5,3,25.5
57,Female,74.0,1.67,188,147,67,1.02,401.0,Strength,29.6,2.57,3,1,26.53
28,Female,80.0,1.72,186,131,72,0.85,643.1,HIIT,19.4,1.93,2,1,27.04
20,Male,70.0,1.87,174,125,64,0.59,251.6,Strength,24.2,1.97,3,1,20.02
23,Male,55.1,1.67,194,116,56,1.23,561.9,Cardio,20.0,2.34,4,2,19.76
26,Female,50.7,1.56,187,112,56,1.19,367.3,Strength,39.7,2.0,2,2,20.83
23,Male,69.2,1.68,197,140,68,0.81,364.5,Cardio,19.4,2.4,3,1,24.52
26,Female,61.4,1.63,192,132,70,0.99,436.1,Cardio,24.1,2.01,1,2,23.11
56,Female,53.4,1.63,190,140,61,0.94,268.6,Strength,26.8,2.08,3,2,20.1
48,Male,81.1,1.73,187,116,66,1.14,287.6,Yoga,36.2,1.59,5,3,27.1
49,Male,86.0,1.85,177,116,68,0.98,513.3,Strength,22.3,1.69,6,3,25.13
58,Female,68.0,1.66,196,155,58,1.56,598.5,Strength,30.4,2.77,5,3,24.68
29,Male,67.9,1.72,184,133,58,0.9,190.9,Yoga,15.9,2.04,2,2,22.95
25,Male,65.8,1.71,182,143,72,0.76,450.5,HIIT,16.3,1.78,4,1,22.5
25,Female,59.6,1.7,182,144,57,0.57,338.2,HIIT,18.8,1.67,1,1,20.62
45,Female,71.0,1.6,185,128,55,0.7,339.3,Cardio,27.6,2.08,3,1,27.73
37,Female,52.2,1.57,191,151,71,1.57,187.6,Yoga,21.5,2.82,2,2,21.18
24,Female,55.9,1.5,189,136,61,1.1,473.8,Cardio,16.9,1.99,4,3,24.84
28,Male,89.6,1.71,182,124,70,1.29,659.0,Strength,20.1,2.6,3,2,30.64
37,Male,61.0,1.64,189,126,59,0.74,381.8,Cardio,13.1,1.9,3,1,22.68
33,Female,74.9,1.64,171,129,73,1.14,378.6,Strength,23.4,2.33,3,2,27.85
21,Female,71.5,1.65,172,118,61,1.5,777.4,Cardio,17.8,1.87,5,3,26.26
23,Male,76.4,1.74,184,128,68,1.05,451.2,Strength,15.4,1.65,3,2,25.23
39,Female,65.8,1.6,192,126,56,1.18,372.2,Strength,27.1,2.45,3,3,25.7
43,Male,58.2,1.57,188,115,57,1.21,509.6,Cardio,16.7,2.31,5,3,23.61
20,Male,64.9,1.64,182,119,71,1.22,488.6,Strength,19.7,2.35,3,3,24.13
58,Male,79.6,1.91,174,113,70,1.37,410.6,Yoga,19.7,2.0,3,2,21.82
59,Male,70.7,1.71,195,120,62,0.7,187.8,Yoga,18.0,1.79,3,2,24.18
31,Male,53.4,1.57,191,134,72,0.4,142.6,Cardio,25.0,1.24,2,1,21.66
28,Male,76.3,1.65,175,133,69,0.41,332.0,HIIT,13.3,1.49,1,1,28.03
35,Male,63.4,1.92,183,118,61,0.82,504.3,HIIT,23.2,1.99,5,2,17.2
29,Female,70.6,1.65,173,141,63,0.89,330.7,Strength,31.8,2.13,4,1,25.93
40,Female,60.9,1.55,191,149,60,1.4,597.9,Cardio,20.6,2.13,7,3,25.35
29,Female,63.2,1.59,188,140,72,0.63,351.6,HIIT,34.0,2.04,4,1,25.0
30,Female,80.3,1.69,192,150,72,1.24,256.7,Yoga,33.2,2.23,4,3,28.12
42,Male,74.1,1.8,176,125,68,0.53,206.4,Strength,17.8,1.75,2,1,22.87
36,Male,62.5,1.58,173,111,68,0.55,211.0,Strength,20.3,1.86,2,1,25.04
53,Female,45.5,1.63,171,142,68,1.37,388.8,Strength,27.4,2.95,6,3,17.13
25,Male,66.1,1.72,196,119,58,0.96,447.2,Cardio,25.8,2.03,2,1,22.34
46,Female,69.3,1.59,176,144,58,0.65,460.9,HIIT,35.9,2.18,4,1,27.41
49,Male,54.5,1.71,172,131,69,1.08,555.7,HIIT,27.4,2.31,4,1,18.64
35,Female,67.1,1.65,184,127,69,1.19,609.6,Cardio,18.0,2.14,4,2,24.65
23,Male,65.9,1.76,170,128,72,1.07,174.8,Yoga,31.7,1.68,1,1,21.27
35,Female,57.3,1.56,171,127,68,0.94,464.7,Cardio,21.7,1.88,3,2,23.55
36,Male,66.7,1.76,179,106,55,1.3,282.3,Yoga,20.3,2.3,4,2,21.53
39,Female,55.6,1.71,185,127,64,1.44,432.8,Strength,23.9,2.33,5,2,19.01
54,Male,78.2,1.75,194,153,74,0.92,503.8,Cardio,12.1,2.44,4,2,25.53
49,Female,57.9,1.56,197,141,64,0.97,300.5,Strength,38.2,1.86,2,2,23.79
58,Female,63.5,1.55,184,122,64,0.56,157.4,Strength,34.7,1.79,3,1,26.43
20,Male,78.5,1.7,193,127,56,1.02,622.9,Cardio,20.9,2.27,4,3,27.16
45,Female,81.6,1.68,184,148,62,0.52,199.8,Strength,23.7,1.73,1,1,28.91
27,Female,64.4,1.62,183,130,55,0.84,313.0,Strength,11.4,2.3,4,2,24.54
52,Male,95.3,1.81,191,135,55,0.8,668.2,HIIT,18.2,1.65,3,1,29.09
46,Female,48.9,1.56,183,150,58,1.1,418.7,Cardio,19.4,1.7,4,3,20.09
32,Female,78.0,1.68,175,119,61,0.8,379.9,Strength,16.3,1.89,2,1,27.64
50,Female,62.1,1.55,183,131,63,0.8,336.2,Cardio,34.8,1.96,3,1,25.85
24,Male,81.7,1.81,186,149,70,0.91,667.8,HIIT,22.8,2.11,4,2,24.94
29,Male,82.6,1.79,187,144,59,0.99,538.0,Cardio,19.5,2.14,2,2,25.78
47,Female,45.4,1.5,189,122,56,0.64,155.2,Yoga,25.8,1.76,4,1,20.18
38,Female,51.0,1.63,188,121,65,0.94,474.2,HIIT,37.9,1.61,5,2,19.2
48,Male,98.8,1.79,199,154,72,0.84,406.6,Strength,13.0,1.97,3,2,30.84
41,Female,61.2,1.62,186,128,73,1.27,398.4,Strength,33.7,1.95,3,3,23.32
37,Male,72.1,1.76,185,152,67,0.88,456.9,Cardio,13.5,2.05,4,2,23.28
54,Male,56.0,1.69,177,115,65,0.52,213.7,Cardio,26.7,1.48,2,1,19.61
21,Male,59.2,1.81,176,126,74,0.87,127.1,Yoga,17.8,2.14,3,1,18.07
45,Male,73.2,1.76,189,122,73,1.38,257.3,Yoga,25.0,2.83,7,3,23.63
37,Female,62.4,1.66,197,152,71,1.47,684.1,Cardio,28.6,2.16,3,3,22.64
41,Male,68.6,1.69,181,146,59,0.55,279.8,Strength,24.9,1.45,2,1,24.02
49,Female,65.5,1.64,178,136,67,0.65,385.4,HIIT,31.3,2.23,2,1,24.35
58,Female,86.9,1.6,196,163,74,1.05,496.7,Strength,33.4,2.66,5,2,33.95
53,Female,60.2,1.63,183,112,55,0.65,269.2,Cardio,23.4,1.52,6,1,22.66
51,Male,102.7,1.84,189,118,64,0.86,599.6,Cardio,22.0,1.99,3,1,30.33
53,Male,95.8,1.77,170,137,62,0.85,566.4,Cardio,22.3,2.16,1,1,30.58
19,Female,76.2,1.68,179,144,62,0.85,628.4,HIIT,24.9,1.93,2,1,27.0
32,Female,60.5,1.62,186,151,73,1.04,267.7,Strength,23.2,1.6,2,1,23.05
51,Male,56.8,1.75,186,146,60,1.13,360.4,Strength,21.5,1.77,4,2,18.55
53,Female,68.0,1.62,186,129,66,0.78,160.2,Yoga,29.0,1.59,3,1,25.91
23,Female,80.2,1.69,173,114,61,0.71,322.0,Strength,30.7,1.61,1,1,28.08
56,Female,81.3,1.62,186,154,70,0.73,207.1,Yoga,24.5,1.96,2,1,30.98
59,Female,54.3,1.64,187,126,63,0.79,241.4,Strength,29.7,2.3,3,2,20.19
29,Female,60.4,1.62,189,131,64,0.4,157.9,Cardio,19.7,1.33,2,1,23.01
20,Male,66.3,1.81,192,147,64,1.09,190.5,Yoga,8.0,1.92,3,2,20.24
35,Female,57.0,1.63,171,118,64,1.24,445.7,Strength,24.8,1.91,4,2,21.45
57,Female,66.5,1.58,177,145,74,0.68,371.1,Cardio,29.7,1.99,4,1,26.64
38,Male,64.4,1.74,182,118,70,1.07,499.0,Strength,20.4,1.9,2,1,21.27
32,Male,59.8,1.7,192,148,55,0.71,298.1,Cardio,22.2,1.62,2,1,20.69
50,Male,82.3,1.74,194,146,71,0.61,254.2,Strength,11.1,1.39,2,2,27.18
52,Female,67.7,1.62,199,147,68,1.43,308.6,Yoga,23.3,2.77,4,3,25.8
43,Female,72.5,1.69,191,139,73,0.65,158.5,Yoga,29.2,2.55,3,1,25.38
25,Male,64.0,1.73,189,130,71,1.45,303.9,Yoga,26.5,2.4,3,3,21.38
53,Female,75.6,1.61,191,137,68,0.49,303.8,Cardio,25.1,2.24,2,1,29.17
47,Male,72.8,1.74,184,130,62,1.33,564.5,Strength,24.3,2.13,6,3,24.05
40,Female,100.3,1.73,189,139,63,0.84,656.8,Cardio,21.5,2.0,4,2,33.51
59,Female,55.5,1.5,192,127,62,1.04,221.5,Yoga,21.9,2.32,4,2,24.67
31,Female,45.2,1.68,178,114,67,1.15,338.6,Strength,28.8,1.96,4,2,16.01
31,Male,50.7,1.78,172,117,71,1.11,223.1,Strength,29.8,2.12,3,2,16.0
19,Male,74.8,1.68,172,137,73,1.26,857.5,HIIT,17.2,2.17,4,3,26.5
54,Male,74.8,1.6,171,106,61,0.72,263.1,Strength,20.7,2.06,5,2,29.22
22,Male,71.4,1.85,170,140,71,1.15,499.7,Strength,17.9,2.21,4,2,20.86
55,Female,73.9,1.51,183,137,55,0.96,121.5,Yoga,24.6,1.86,2,1,32.41
58,Female,85.5,1.67,186,144,59,0.54,197.3,Yoga,31.6,1.73,1,1,30.66
31,Female,66.0,1.63,182,144,60,1.07,479.9,Cardio,22.6,2.48,4,3,24.84
56,Female,60.4,1.52,188,114,56,1.21,363.4,Strength,24.3,2.39,4,2,26.14
42,Female,86.4,1.77,199,159,70,0.96,263.1,Yoga,32.4,2.21,3,2,27.58
37,Female,87.0,1.66,192,136,59,0.83,511.2,Cardio,24.9,2.67,4,2,31.57
19,Female,73.7,1.66,184,148,59,1.3,605.0,Strength,21.0,1.94,6,3,26.75
56,Female,71.5,1.7,196,158,66,0.87,507.7,Cardio,38.4,2.23,3,2,24.74
23,Male,84.6,1.78,194,113,57,1.03,465.0,Strength,31.1,2.13,4,2,26.7
34,Male,66.1,1.59,183,130,70,0.92,484.8,Cardio,18.3,2.16,4,2,26.15
42,Male,86.8,1.77,171,125,60,0.68,307.0,Strength,19.1,1.96,1,1,27.71
45,Female,44.2,1.58,176,137,69,0.97,290.2,Cardio,36.0,1.87,2,1,17.71
19,Female,67.9,1.64,186,128,69,0.76,316.1,Strength,43.9,1.65,5,3,25.25
52,Male,87.5,1.84,187,127,70,0.86,284.0,Yoga,11.4,2.02,3,1,25.84
54,Female,59.2,1.58,175,128,74,1.44,749.6,HIIT,36.3,2.13,5,3,23.71
22,Female,66.0,1.56,196,141,67,0.63,359.6,HIIT,25.5,1.77,3,1,27.12
18,Male,113.2,1.89,190,157,66,0.94,604.9,Strength,18.5,2.3,3,1,31.69
57,Male,75.2,1.75,177,139,64,1.06,545.0,Cardio,9.5,1.77,5,3,24.56
29,Female,73.8,1.66,197,139,68,0.87,530.4,Cardio,23.8,1.96,4,2,26.78
53,Male,80.8,1.63,196,115,56,0.59,106.9,Yoga,12.2,2.17,4,1,30.41
40,Female,71.2,1.7,171,109,57,1.19,446.7,Strength,22.0,2.06,5,2,24.64
48,Male,58.4,1.69,170,123,63,0.65,347.3,Cardio,20.7,2.33,6,2,20.45
28,Female,79.2,1.73,185,147,65,1.33,956.6,HIIT,33.0,1.83,3,2,26.46
27,Female,42.5,1.63,176,124,65,0.69,291.4,Cardio,17.4,2.46,5,1,16.0
20,Female,41.5,1.61,191,139,64,1.37,405.5,Cardio,33.7,2.33,3,3,16.01
31,Female,69.8,1.66,193,157,68,1.36,385.6,Yoga,18.5,1.92,6,3,25.33
33,Male,53.0,1.82,180,147,63,0.78,148.6,Yoga,14.5,2.22,2,1,16.0
27,Male,55.4,1.72,184,126,74,1.13,318.7,Strength,23.5,2.31,4,3,18.73
46,Male,56.8,1.59,182,113,64,1.5,224.9,Yoga,20.6,2.81,5,3,22.47
27,Female,58.9,1.67,199,132,63,0.9,418.8,HIIT,26.9,1.58,3,2,21.12
29,Female,62.2,1.63,193,145,59,0.85,421.9,HIIT,21.7,1.68,4,2,23.41
47,Female,72.8,1.6,171,142,62,0.93,466.9,Cardio,29.1,2.29,2,1,28.44
58,Male,77.3,1.76,183,115,65,0.78,399.6,Cardio,21.7,2.73,1,1,24.95
18,Male,57.6,1.67,193,112,55,1.27,304.4,Strength,26.1,2.43,3,2,20.65
22,Male,92.2,1.77,175,143,64,1.24,376.6,Yoga,33.9,2.46,6,3,29.43
37,Male,68.1,1.93,178,136,55,0.87,361.1,Strength,40.5,1.79,3,2,18.28
25,Female,66.9,1.64,197,163,61,1.05,524.1,Cardio,28.9,2.08,4,2,24.87
29,Male,52.2,1.71,176,126,68,0.66,205.6,Cardio,19.2,1.71,2,1,17.85
18,Male,72.3,1.7,187,129,59,0.63,475.8,HIIT,12.5,2.03,1,1,25.02
37,Female,57.5,1.59,193,127,71,0.92,378.3,Cardio,36.0,2.33,3,1,22.74
45,Male,93.8,1.82,178,112,60,1.12,552.0,Strength,34.9,2.23,4,1,28.32
54,Male,86.1,1.79,192,144,70,0.95,605.2,Cardio,15.1,2.31,4,2,26.87
54,Female,54.1,1.58,173,122,65,0.56,227.7,Cardio,27.3,1.83,3,1,21.67
29,Male,64.0,1.75,178,113,64,0.97,458.6,HIIT,16.5,2.48,5,2,20.9
54,Female,66.5,1.71,173,143,69,0.85,507.5,HIIT,31.4,1.75,2,1,22.74
45,Female,81.7,1.61,181,117,61,1.05,482.8,Strength,35.7,2.55,3,2,31.52
32,Female,81.0,1.63,173,133,56,1.24,716.6,Cardio,25.5,2.03,4,2,30.49
23,Male,62.3,1.76,194,130,66,0.88,440.6,HIIT,19.5,2.03,3,1,20.11
37,Female,64.5,1.54,199,159,73,0.53,197.4,Cardio,24.7,1.46,1,1,27.2
31,Male,53.5,1.77,193,122,66,0.65,214.3,Strength,19.8,2.04,3,1,17.08
19,Male,61.9,1.67,189,149,70,0.97,210.6,Yoga,18.1,2.12,4,3,22.2
